zone_band,outward_code,label,address1,city,postcode,source
outer,SW9,Brixton Station,Brixton Road,London,SW9 8HE,public transport address
outer,SW12,Balham Station,Balham High Road,London,SW12 9BW,public transport address
outer,SW13,Barnes Bridge Station,The Terrace,London,SW13 0NP,public transport address
outer,SW15,Putney Station,Putney High Street,London,SW15 1RT,public transport address
outer,SW16,Streatham Station,Streatham High Road,London,SW16 6HP,public transport address
outer,SW17,Tooting Broadway Station,Tooting High Street,London,SW17 0SU,public transport address
outer,SW18,Southside Shopping Centre,Wandsworth High Street,London,SW18 4TF,public retail address
outer,SW19,Wimbledon Station,Wimbledon Bridge,London,SW19 7NL,public transport address
outer,SE4,Brockley Station,Brockley Road,London,SE4 2RW,public transport address
outer,SE6,Catford Station,Catford Road,London,SE6 4XT,public transport address
outer,SE8,Deptford Station,Deptford High Street,London,SE8 4NS,public transport address
outer,SE10,Greenwich Market,Greenwich Market,London,SE10 9HZ,public market address
outer,SE13,Lewisham Shopping Centre,Molesworth Street,London,SE13 7HB,public retail address
outer,SE14,New Cross Gate Station,New Cross Road,London,SE14 6AR,public transport address
outer,SE17,Walworth Road,Walworth Road,London,SE17 1RL,public district address
outer,SE19,Crystal Palace Station,Crystal Palace Station Road,London,SE19 2AZ,public transport address
outer,SE21,North Dulwich Station,Red Post Hill,London,SE21 7BX,public transport address
outer,SE22,East Dulwich Station,Grove Vale,London,SE22 8EF,public transport address
outer,SE23,Forest Hill Station,Devonshire Road,London,SE23 3HB,public transport address
outer,SE24,Herne Hill Station,Railton Road,London,SE24 0JW,public transport address
outer,E5,Clapton Station,Upper Clapton Road,London,E5 9JP,public transport address
outer,E6,East Ham Station,High Street North,London,E6 2JA,public transport address
outer,E7,Forest Gate Station,Woodgrange Road,London,E7 0QH,public transport address
outer,E10,Leyton Station,High Road Leyton,London,E10 5PS,public transport address
outer,E11,Leytonstone Station,Church Lane,London,E11 1HE,public transport address
outer,E12,Manor Park Station,Station Road,London,E12 5BP,public transport address
outer,E15,Stratford Station,Station Street,London,E15 1AZ,public transport address
outer,E16,ExCeL London,Royal Victoria Dock,London,E16 1XL,public venue address
outer,E17,Walthamstow Central Station,Selborne Road,London,E17 7LP,public transport address
outer,N2,East Finchley Station,High Road,London,N2 0NW,public transport address
outer,N6,Highgate Station,Archway Road,London,N6 5BH,public transport address
outer,N8,Hornsey Station,Tottenham Lane,London,N8 9DJ,public transport address
outer,N10,Muswell Hill Broadway,Muswell Hill Broadway,London,N10 3RS,public district address
outer,N15,Seven Sisters Station,Seven Sisters Road,London,N15 5LA,public transport address
outer,N19,Archway Station,Junction Road,London,N19 5RQ,public transport address
outer,NW2,Willesden Green Station,Walm Lane,London,NW2 4QT,public transport address
outer,NW10,Willesden Junction Station,Old Oak Lane,London,NW10 4UY,public transport address
outer,NW11,Golders Green Station,North End Road,London,NW11 7RN,public transport address
